id,child,age,year_group,competition_order,age_group,country,gender,fairness1,fairness2,fairness3,fairness4,fairness5,fairness6,fairness7,fairness8,allocation1,allocation2,allocation3,allocation4,allocation5,allocation6,allocation7,allocation8,justification1,justification2,justification3,justification4,justification5,justification6,justification7,justification8
C2E25,25,50,Jonior,competition first,Younger,CN,Male,unfair,fair,fair,unfair,fair,fair,unfair,unfair,UFdis,Fair,Fair,UFdis,Fair,Fair,UFdis,UFad,Conduct,Norm,Norm,Uncodable,Norm,Norm,Norm,Desire
C2C01,26,50,Jonior,control first,Younger,CN,Female,unfair,fair,fair,fair,fair,fair,fair,unfair,UFad,Fair,Fair,Fair,Fair,Fair,Fair,UFdis,Desire,Norm,Norm,Norm,Norm,Norm,Norm,Desire
C2C02,27,53,Jonior,control first,Younger,CN,Female,fair,fair,fair,fair,fair,fair,fair,fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Norm,Norm,Norm,Norm,Norm,Norm,Norm,Norm
C2C03,28,53,Jonior,control first,Younger,CN,Male,fair,fair,unfair,unfair,fair,fair,fair,unfair,Fair,Fair,UFad,UFdis,Fair,Fair,Fair,UFdis,Norm,Norm,Desire,Norm,Affiliation,Norm,Uncodable,Norm
C2C04,29,52,Jonior,control first,Younger,CN,Male,fair,unfair,fair,fair,unfair,fair,unfair,fair,Fair,UFad,Fair,Fair,UFad,Fair,UFad,Fair,Norm,Desire,Norm,Norm,Desire,Norm,Desire,Norm
C2C05,30,53,Jonior,control first,Younger,CN,Male,fair,fair,fair,unfair,unfair,fair,fair,unfair,Fair,Fair,Fair,UFad,UFad,Fair,Fair,UFad,Norm,Norm,Norm,Desire,Desire,Norm,Norm,Desire
C2C06,31,49,Jonior,control first,Younger,CN,Male,unfair,fair,unfair,fair,fair,fair,unfair,unfair,UFdis,Fair,UFad,Fair,Fair,Fair,UFad,UFdis,Affiliation,Norm,Desire,Norm,Conduct,Affiliation,Desire,Norm
C2C07,32,50,Jonior,control first,Younger,CN,Female,fair,fair,unfair,unfair,fair,fair,unfair,unfair,Fair,Fair,UFad,UFdis,Fair,Fair,UFad,UFdis,Conduct,Conduct,Conduct,Conduct,Conduct,Norm,Desire,Conduct
C2C08,33,52,Jonior,control first,Younger,CN,Male,unfair,fair,unfair,fair,fair,fair,unfair,unfair,UFad,Fair,UFad,Fair,Fair,Fair,UFdis,UFdis,Affiliation,Affiliation,Affiliation,Affiliation,Affiliation,Affiliation,Affiliation,Affiliation
C2C09,34,48,Jonior,control first,Younger,CN,Male,fair,fair,fair,fair,fair,unfair,unfair,unfair,Fair,Fair,Fair,Fair,Fair,UFdis,UFdis,UFdis,Norm,Norm,Norm,Norm,Norm,Conduct,Conduct,Conduct
